,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khatanga,71.9667,102.5,60.94,57,48,4.85,RU,1659029207
1,oda,35.1833,132.5,76.91,88,30,6.31,JP,1659029207
2,faanui,-16.4833,-151.75,79.36,73,12,26.46,PF,1659029207
3,ushuaia,-54.8,-68.3,46.06,53,40,10.36,AR,1659029053
4,arbagar,51.9438,116.2805,53.89,84,64,3.02,RU,1659029208
5,jamestown,42.097,-79.2353,78.94,73,75,9.22,US,1659029208
6,albany,42.6001,-73.9662,88.79,64,26,4.0,US,1659029208
7,baturaja,-4.1333,104.1667,75.61,89,100,2.68,ID,1659029208
