,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,vila franca do campo,37.7167,-25.4333,75.61,70,5,3.78,PT,1659032917
85,pochutla,15.7432,-96.4661,86.83,60,18,7.65,MX,1659032918
86,zaozerne,45.1582,33.2787,77.32,60,0,6.98,UA,1659032919
87,belyy yar,53.6039,91.3903,60.69,71,0,4.47,RU,1659032919
88,lusambo,-4.9667,23.45,78.82,33,70,1.1,CD,1659032919
89,vostok,46.4856,135.8833,64.4,95,77,4.14,RU,1659032919
90,pangnirtung,66.1451,-65.7125,53.6,94,100,9.22,CA,1659032920
91,boguchany,58.3814,97.4531,59.36,97,99,2.95,RU,1659032920
92,sola,-13.8833,167.55,79.47,94,71,3.44,VU,1659032920
93,hobart,-42.8794,147.3294,42.66,81,75,13.8,AU,1659032823
94,georgetown,5.4112,100.3354,81.95,89,20,3.44,MY,1659032809
95,manono,-7.3,27.4167,81.45,29,16,1.68,CD,1659032920
96,fortuna,40.5982,-124.1573,67.93,82,100,5.75,US,1659032803
97,bayevo,53.2833,80.7667,68.07,64,35,11.07,RU,1659032921
98,la ronge,55.1001,-105.2842,73.65,38,20,8.05,CA,1659032921
99,ornskoldsvik,63.2909,18.7153,59.95,63,75,4.61,SE,1659032790
100,ripky,51.801,31.0838,65.1,69,29,2.98,UA,1659032921
101,bengkulu,-3.8004,102.2655,75.99,90,83,4.92,ID,1659032922
102,olga,43.7444,135.2892,65.39,98,100,1.99,RU,1659032922
103,kribi,2.95,9.9167,75.34,89,92,9.75,CM,1659032922
104,talara,-4.5772,-81.2719,74.16,64,0,14.97,PE,1659032922
105,husavik,66.0449,-17.3389,55.02,68,9,9.71,IS,1659032923
106,tura,25.5198,90.2201,74.21,91,58,2.89,IN,1659032923
107,eureka,40.8021,-124.1637,68.2,77,77,7.0,US,1659032639
108,salalah,17.0151,54.0924,77.09,88,100,5.75,OM,1659032923
109,revadanda,18.5503,72.9278,80.73,88,86,3.47,IN,1659032924
110,mahebourg,-20.4081,57.7,70.09,78,20,10.36,MU,1659032924
111,golden,39.7555,-105.2211,72.1,78,100,3.44,US,1659032775
112,darhan,49.4867,105.9228,51.51,82,11,2.93,MN,1659032924
113,lompoc,34.6391,-120.4579,78.69,75,40,8.05,US,1659032924
114,ahipara,-35.1667,173.1667,55.99,73,90,9.82,NZ,1659032925
115,vila velha,-20.3297,-40.2925,80.55,73,40,16.11,BR,1659032925
116,sumbe,-11.2061,13.8437,70.2,81,93,7.52,AO,1659032926
117,teknaf,20.8624,92.3058,81.39,82,66,5.21,BD,1659032926
118,honningsvag,70.9821,25.9704,49.75,81,100,13.8,NO,1659032926
119,kutum,14.2,24.6667,74.82,61,97,14.16,SD,1659032926
120,the valley,18.217,-63.0578,89.46,62,40,14.97,AI,1659032927
121,grindavik,63.8424,-22.4338,48.67,87,75,11.5,IS,1659032927
122,illapel,-31.6308,-71.1653,64.24,50,2,5.21,CL,1659032927
123,pascagoula,30.3658,-88.5561,89.64,70,40,6.91,US,1659032927
124,salt lake city,40.7608,-111.8911,95.43,27,20,9.22,US,1659032659
125,ampanihy,-24.7,44.75,62.26,84,0,10.92,MG,1659032928
126,east london,-33.0153,27.9116,65.34,88,0,10.36,ZA,1659032929
127,biltine,14.5333,20.9167,86.67,52,64,9.51,TD,1659032929
128,kenai,60.5544,-151.2583,64.02,53,0,6.91,US,1659032930
129,pisco,-13.7,-76.2167,64.45,72,100,9.22,PE,1659032930
130,touros,-5.1989,-35.4608,81.66,66,11,17.27,BR,1659032930
131,mataura,-46.1927,168.8643,47.48,98,100,4.34,NZ,1659032931
132,nouadhibou,20.931,-17.0347,75.18,78,0,27.63,MR,1659032931
133,saskylakh,71.9167,114.0833,64.36,67,92,3.67,RU,1659032932
134,ponta do sol,32.6667,-17.1,76.71,78,0,2.46,PT,1659032932
